,,,,
,,,,"Enterprise/Mombasa Road,"
,,,,Industrial Area
,,,,"P.O. Box 30527 – 00100,"
,,,,"Nairobi, Kenya"
,,,,Tel: +254 703 013 111
,,,,info.kenya@isuzu.co.ke
,,,,www.isuzutrucks.co.ke
,OFFICIAL TRUCK BODY PRICE BULLETIN ( DOMESTIC ),,,
,VALIDITY: 2022-2023,,,
,,,,
,MODEL,BODY DESCRIPTION,UoM, BODY PRICE (KES - VAT INCLUSIVE) 
,NLR77E,NLR FULLY ENCLOSED STEEL BODY(CORRUG/PLAIN),UNIT,"311,000.00"
,NLR77E,NLR FIXED HIGH SIDED STEEL BODY (CORRUG/PLAIN),UNIT,"283,000.00"
,NLR77E,"NLR77E MILK TANKER 2,500L (Stainless Steel)",UNIT,"952,000.00"
,,,,
,NMR85H,NMR FULLY ENCLOSED STEEL BODY(CORRUG/PLAIN),UNIT,"378,000.00"
,NMR85H,NMR FIXED HIGH SIDED STEEL BODY(CORRUG/PLAIN),UNIT,"355,000.00"
,NMR85H,NMR DOUBLE DROPSIDE STEEL BODY(CORRUG/PLAIN),UNIT,"378,000.00"
,NMR85H,NMR LOW DROPSIDE STEEL BODY(CORRUG/PLAIN),UNIT,"283,000.00"
,NMR85H,"NMR85H MILK TANKER 3,500L (Stainless Steel)",UNIT,"1,056,000.00"
,,,,
,NQR81K,NQR-K FULLY ENCLOSED STEEL BODY(CORRUG/PLAIN),UNIT,"449,000.00"
,NQR81K,NQR-K  FIXED HIGH SIDED STEEL BODY(CORRUG/PLAIN),UNIT,"407,000.00"
,NQR81K,NQR-K DOUBLE DROPSIDE STEEL BODY(CORRUG/PLAIN),UNIT,"406,000.00"
,NQR81K,NQR-K LOW DROPSIDE STEEL BODY(CORRUG/PLAIN),UNIT,"306,000.00"
,NQR81K,NQR-K TIPPER,UNIT,"1,485,000.00"
,NQR81K,"NQR81K WATER TANKER 5,000L (Mild Steel)",UNIT,"1,152,000.00"
,NQR81K,"NQR81K WATER TANKER 5,000L (Stainless Steel)",UNIT,"1,589,000.00"
,NQR81K,"NQR81K MILK TANKER 5,0000L (Stainless Steel)",UNIT,"1,591,000.00"
,NQR81K,"NQR81K FUEL TANKER 5,000L (Mild Steel)",UNIT,"1,413,000.00"
,,,,
,NPS81UH,NPS CARGO CARRIER- KDF,UNIT,"946,000.00"
,,,,
,NQR81M,NQR81M FULLY ENCLOSED STEEL BODY(CORRUG/PLAIN),UNIT,"538,000.00"
,NQR81M,NQR81M FIXED HIGH SIDED STEEL BODY(CORRUG/PLAIN),UNIT,"516,000.00"
,NQR81M,NQR81M DOUBLE DROPSIDE STEEL BODY(CORRUG/PLAIN),UNIT,"526,000.00"
,NQR81M,NQR81M LOW DROPSIDE STEEL BODY(CORRUG/PLAIN),UNIT,"425,000.00"
,NQR81M,"NQR81M FUEL TANKER 6,000L (Mild Steel)",UNIT,"1,558,000.00"
,NQR81M,"NQR81M MILK TANKER 6,000L (Stainless Steel)",UNIT,"1,761,000.00"
,NQR81M,"NQR81M WATER TANKER 6,000L (Mild Steel)",UNIT,"1,209,000.00"
,NQR81M,"NQR81M WATER TANKER 6,000L (Stainless Steel)",UNIT,"1,636,000.00"
,,,UNIT,
,FRR90N,FRR90N FULLY ENCLOSED STEEL BODY(CORRUG/PLAIN),,"550,000.00"
,FRR90N,FRR90N  FIXED HIGH SIDED STEEL BODY(CORRUG/PLAIN),UNIT,"527,000.00"
,FRR90N,FRR90N DOUBLE DROPSIDE STEEL BODY(CORRUG/PLAIN),UNIT,"537,000.00"
,FRR90N,FRR90N  LOW DROPSIDE STEEL BODY(CORRUG/PLAIN),UNIT,"422,000.00"
,FRR90N,"FRR90N FUEL TANKER 8,500L (Mild Steel)",UNIT,"2,042,000.00"
,FRR90N,"FRR90N MILK TANKER 8,500L (Stainless Steel)",UNIT,"2,398,000.00"
,FRR90N,"FRR90N WATER TANKER 8,500L (Mild Steel)",UNIT,"1,589,000.00"
,FRR90N,"FRR90N WATER TANKER 8,500L (Stainless Steel)",UNIT,"2,299,000.00"
,,,,
